1	1	1	2017-10-11 02:42:11.6935078	2017-11-27 15:40:48.4837884	2017-10-15 04:39:25.2740690	82
2	2	1	2017-10-01 01:58:21.8973100	2017-10-27 18:47:56.4362501	2017-11-23 11:37:30.9751902	106
3	3	0	2017-12-02 04:45:33.9365234	2017-11-04 19:20:57.1128544	2017-10-08 09:56:20.2891853	94
4	4	0	2017-10-03 09:25:38.5110834	2017-10-22 19:35:12.2085184	2017-11-11 05:44:45.9059534	
5	5	1	2017-10-16 05:46:18.8103379	2017-11-26 07:49:00.2906698	2017-10-07 09:51:41.7710016	80
6	6	1	2017-11-18 21:34:08.2917626	2017-11-07 10:09:42.4070236	2017-10-26 22:45:16.5222847	63
7	7	0	2017-10-28 08:16:03.2322599	2017-12-08 02:49:24.2113793	2017-10-18 21:22:45.1904986	20
8	8	1	2017-11-21 23:52:46.9603450	2017-10-07 15:33:30.4090370	2017-11-22 07:14:13.8577291	78
9	9	1	2017-12-10 19:36:06.6530431	2017-12-22 01:47:56.8383787	2017-10-03 07:59:47.0237141	10
10	10	1	2017-11-05 02:06:05.9422686	2017-12-08 15:27:14.5723710	2017-10-12 04:48:23.2024732	18
11	11	0	2017-11-21 04:17:01.0638580	2017-10-28 05:18:11.1667451	2017-10-04 06:19:21.2696321	60
12	12	1	2017-10-07 03:14:22.2178594	2017-12-17 04:19:11.4716400	2017-11-27 05:24:00.7254205	93
13	13	1	2017-11-10 10:38:34.5602524	2017-10-13 00:02:09.7653795	2017-12-14 13:25:44.9705066	50
14	14	1	2017-12-07 02:10:03.8858987	2017-10-24 10:24:18.9149232	2017-12-10 18:38:33.9439478	61
15	15	1	2017-12-25 08:38:03.3495419	2017-11-28 01:22:22.1466016	2017-10-31 18:06:40.9436613	36
16	16	0	2017-11-11 00:48:23.2038076	2017-10-07 20:45:36.2988253	2017-12-03 16:42:49.3938431	5
17	17	0	2017-11-02 22:21:36.3853078	2017-12-11 04:25:27.5383994	2017-10-19 10:29:18.6914909	39
18	18	1	2017-10-23 22:08:55.2587579	2017-12-19 08:13:37.9677893	2017-11-14 18:18:20.6768206	75
19	19	1	2017-11-02 15:33:16.4660831	2017-11-05 02:40:34.6717045	2017-11-07 13:47:52.8773259	14
20	20	1	2017-12-27 20:00:22.6498135	2017-11-02 01:39:42.3172224	2017-12-07 07:19:01.9846315	53
21	21	1	2017-11-16 15:40:57.6527590	2017-11-28 17:52:18.9724763	2017-12-10 20:03:40.2921936	16
22	22	1	2017-12-04 10:10:12.3203195	2017-12-26 17:59:07.5711454	2017-10-19 01:48:02.8219712	110
23	23	1	2017-12-13 05:10:52.9588220	2017-12-28 14:17:17.9522430	2017-10-13 23:23:42.9456638	54
24	24	1	2017-12-06 13:44:16.5526895	2017-10-08 08:42:33.5943043	2017-11-09 03:40:50.6359192	38
25	25	1	2017-12-11 06:32:06.9399514	2017-12-20 04:34:47.0615768	2017-12-29 02:37:27.1832022	94
26	26	0	2017-11-20 07:25:02.2911464	2017-10-18 20:07:44.3926198	2017-12-16 08:50:26.4940932	10
27	27	1	2017-11-16 09:40:59.0782492	2017-11-03 15:24:35.1295422	2017-10-21 21:08:11.1808353	58
28	28	1	2017-12-25 11:12:28.8566825	2017-11-20 20:25:54.4790029	2017-10-17 05:39:20.1013233	11
29	29	1	2017-11-23 07:48:38.7926975	2017-12-18 11:03:35.8524520	2017-10-13 14:18:32.9122065	96
30	30	1	2017-12-25 09:13:56.0379672	2017-12-07 16:08:15.2839496	2017-11-19 23:02:34.5299320	50
31	31	1	2017-11-14 02:34:25.7802431	2017-12-17 16:51:28.8560831	2017-10-21 07:08:31.9319231	43
32	32	1	2017-12-20 16:03:55.8204202	2017-10-14 15:20:45.6186164	2017-11-07 14:37:35.4168127	72
