1	2010-03-26 00:24:45.8110524	 Parsley ; Mustard ; Sesame Seed 	0	1982-03-19 12:37:23.1741346	727	645
2	1999-06-14 12:16:04.4449604	Olive Oil; Flour; Chicken 	1	1991-09-12 16:21:49.6557548	818	240
3	1959-09-27 06:43:50.4317706	 Love	1	1966-01-06 09:09:13.4114573	768	779
4	1980-08-30 04:01:32.1582543	 Parsley ; Mustard ; Sesame Seed 	0	1957-05-17 07:16:47.6738733	557	643
5	2009-06-05 23:07:50.7137734	Olive Oil; Flour; Chicken 	1	1967-08-19 12:32:29.2314117	206	167
6	1962-06-23 09:26:26.0745350	Olive Oil; Flour; Chicken 	0	2002-09-23 19:42:18.5517702	559	671
7	1982-06-10 10:06:59.3462304	 Love	1	2004-09-21 16:48:03.8031618	907	904
8	1965-06-11 02:04:58.5843559	 Love	1	1998-02-22 02:09:45.9948268	441	911
9	2015-03-06 15:08:23.2101708	Olive Oil; Flour; Chicken 	1	1974-06-17 23:01:46.7156671	978	753
10	1995-04-30 05:49:37.4106688	Olive Oil; Flour; Chicken 	1	2002-03-17 00:38:45.7608722	273	647
11	1962-08-31 10:42:25.8914459	 Love	1	1976-04-10 06:24:20.0620973	291	1083
12	2002-06-19 14:25:41.3928840	 Parsley ; Mustard ; Sesame Seed 	1	1959-11-14 22:46:26.3156298	467	868
13	2006-01-10 09:56:51.4666464	 Parsley ; Mustard ; Sesame Seed 	1	2010-01-24 00:06:51.0067832	633	333
14	1979-02-21 16:15:33.1294526	 Love	1	2015-06-14 05:28:23.9449144	469	6
15	1978-07-07 08:54:17.9575732	Olive Oil; Flour; Chicken 	1	1984-12-25 06:35:59.8805910	983	1162
16	2001-06-27 22:19:49.0181974	 Parsley ; Mustard ; Sesame Seed 	0	1993-04-20 19:32:49.1525250	30	1133
17	2002-03-08 22:58:45.0525204	Olive Oil; Flour; Chicken 	1	1954-05-05 04:08:16.6831172	862	1120
18	1979-06-13 13:30:25.0084970	Olive Oil; Flour; Chicken 	1	1970-05-20 15:43:15.9716226	996	661
19	2011-08-07 12:40:18.1247044	 Love	0	2016-11-09 02:10:35.4238488	675	52
20	1997-01-06 09:54:01.9885070	Olive Oil; Flour; Chicken 	1	2007-06-25 10:29:44.0068232	313	801
21	1988-03-25 04:20:08.0994156	 Love	0	2014-01-14 22:43:17.0003016	815	271
