1	950	727		2017-12-07 14:41:08.7416666
2	707	818		2017-12-23 00:31:32.8123051
3	321	769		2017-10-09 07:34:19.4241939
4	488	559		2017-11-19 10:01:53.6881818
5	884	207		2017-11-29 14:01:12.7111694
6	420	4		2017-12-12 13:03:00.3249608
7	768	907		2017-10-29 23:19:16.3567254
8	951	443		2017-12-21 18:28:56.0271466
9	224	978		2017-12-16 19:46:27.4876160
10	31	274		2017-12-26 12:53:22.8980785
11	364	292		2017-10-06 17:28:55.0976521
12	426	468		2017-11-14 21:29:23.8577389
13	152	633		2017-10-26 16:23:39.6149251
14	919	470		2017-10-04 00:46:49.7514076
15	833	983		2017-10-30 12:31:57.5791995
16	324	31		2017-11-19 19:11:08.4043193
17	535	863		2017-11-09 23:10:25.2412395
18	230	996		2017-10-22 06:58:55.8236012
19	523	678		2017-10-21 12:44:27.0027350
20	405	315		2017-12-18 04:04:44.0367550
21	826	817		2017-11-12 12:28:44.8010457
22	857	849		2017-10-26 09:14:17.0340714
23	824	992		2017-12-11 21:45:38.1632172
24	607	33		2017-12-21 00:34:01.7534406
25	76	700		2017-12-13 11:56:33.4284590
26	90	527		2017-10-31 17:48:08.6664510
27	102	935		2017-10-16 15:02:45.5572040
28	1000	688		2017-10-12 04:58:02.7106156
29	87	547		2017-10-31 13:34:08.2865859
30	442	82		2017-12-01 18:54:51.6259517
31	865	188		2017-12-07 07:49:59.8756615
32	471	454		2017-12-27 17:39:05.5597608
33	398	298		2017-11-11 10:55:24.2121492
34	460	989		2017-11-09 10:41:01.1750677
35	556	643		2017-10-15 07:23:49.0530805
36	518	763		2017-12-03 00:34:51.5134604
37	257	16		2017-12-13 02:07:28.1327704
38	615	382		2017-12-14 07:24:30.2793305
39	66	344		2017-12-08 10:29:48.8533873
40	252	958		2017-10-09 03:11:21.9001087
41	684	506		2017-12-14 08:47:08.3007605
42	641	716		2017-12-13 18:06:15.1466980
43	822	119		2017-10-15 22:08:22.4914844
44	691	10		2017-11-14 05:22:56.8926547
45	493	908		2017-12-12 08:59:15.2562626
46	477	795		2017-12-18 23:31:33.2173841
47	700	338		2017-11-12 21:24:12.1594093
48	19	458		2017-11-24 22:19:01.3119586
